grid_row,grid_col,probability,hour
6603.0,255.0,8.048322101504902e-06,18.0
6603.0,255.0,8.173671472944665e-06,19.0
6603.0,255.0,8.163529938038535e-06,20.0
6603.0,255.0,8.066982525732173e-06,21.0
6603.0,255.0,6.771300026124985e-06,22.0
6603.0,255.0,6.146175814511116e-06,23.0
6603.0,256.0,7.581279065239895e-06,0.0
6603.0,256.0,6.809254720510788e-06,1.0
6603.0,256.0,6.093477863754805e-06,2.0
6603.0,256.0,5.623645905391069e-06,3.0
6603.0,256.0,4.547223390454476e-06,4.0
6603.0,256.0,4.3161675329962715e-06,5.0
6603.0,256.0,4.590787621335627e-06,6.0
6603.0,256.0,5.789631139507842e-06,7.0
6603.0,256.0,8.356612085732143e-06,8.0
6603.0,256.0,1.0593276901604488e-05,9.0
6603.0,256.0,1.2050748575260967e-05,10.0
6603.0,256.0,1.2201844768443654e-05,11.0
6603.0,256.0,1.1509228642029542e-05,12.0
6603.0,256.0,1.2183095605785946e-05,13.0
6603.0,256.0,1.184891935371035e-05,14.0
6603.0,256.0,1.0976531844166448e-05,15.0
6603.0,256.0,1.132725147505768e-05,16.0
6603.0,256.0,1.0959988465350833e-05,17.0
6603.0,256.0,1.0940687856732602e-05,18.0
6603.0,256.0,1.1111084658533518e-05,19.0
6603.0,256.0,1.10972985095205e-05,20.0
6603.0,256.0,1.0966054370916547e-05,21.0
6603.0,256.0,9.204735973013126e-06,22.0
6603.0,256.0,8.35495774785057e-06,23.0
6603.0,257.0,2.0042461896617716e-06,0.0
6603.0,257.0,1.8001477996758495e-06,1.0
6603.0,257.0,1.6109194352460453e-06,2.0
6603.0,257.0,1.4867109864831782e-06,3.0
6603.0,257.0,1.2021395170170901e-06,4.0
6603.0,257.0,1.1410557845855912e-06,5.0
6603.0,257.0,1.2136564975948693e-06,6.0
6603.0,257.0,1.5305921403301555e-06,7.0
6603.0,257.0,2.2092192870333516e-06,8.0
6603.0,257.0,2.8005214797354277e-06,9.0
6603.0,257.0,3.185830083116001e-06,10.0
6603.0,257.0,3.225775053727529e-06,11.0
6603.0,257.0,3.042669640997302e-06,12.0
6603.0,257.0,3.2208183785421563e-06,13.0
6603.0,257.0,3.132472932591108e-06,14.0
6603.0,257.0,2.901841751907013e-06,15.0
6603.0,257.0,2.994560734786334e-06,16.0
6603.0,257.0,2.8974682149787456e-06,17.0
6603.0,257.0,2.8923657552290966e-06,18.0
6603.0,257.0,2.937413185590273e-06,19.0
6603.0,257.0,2.933768571483382e-06,20.0
6603.0,257.0,2.899071845185774e-06,21.0
6603.0,257.0,2.4334359468893164e-06,22.0
6603.0,257.0,2.208781933340522e-06,23.0
6604.0,254.0,1.7428227736189316e-07,0.0
6604.0,254.0,1.5653459127616082e-07,1.0
6604.0,254.0,1.4007995089096047e-07,2.0
6604.0,254.0,1.2927921621592854e-07,3.0
6604.0,254.0,1.0453387104496437e-07,4.0
6604.0,254.0,9.922224213787749e-08,5.0
6604.0,254.0,1.0553534761694516e-07,6.0
6604.0,254.0,1.3309496872436135e-07,7.0
6604.0,254.0,1.9210602495942188e-07,8.0
6604.0,254.0,2.4352360693351544e-07,9.0
6604.0,254.0,2.770287028796523e-07,10.0
6604.0,254.0,2.8050217858500253e-07,11.0
6604.0,254.0,2.645799687823741e-07,12.0
6604.0,254.0,2.800711633514918e-07,13.0
6604.0,254.0,2.7238895066009634e-07,14.0
6604.0,254.0,2.523340653832185e-07,15.0
6604.0,254.0,2.603965856335943e-07,16.0
6604.0,254.0,2.5195375782423876e-07,17.0
6604.0,254.0,2.5151006567209537e-07,18.0
6604.0,254.0,2.5542723352958895e-07,19.0
6604.0,254.0,2.5511031056377234e-07,20.0
6604.0,254.0,2.5209320392919774e-07,21.0
6604.0,254.0,2.1160312581646228e-07,22.0
6604.0,254.0,1.9206799420352367e-07,23.0
6604.0,255.0,4.095633518002963e-06,0.0
