hour,every_10_minutes,probability
0,0,0.005996993950135826
0,1,0.005996993950135826
0,2,0.0058962887620562995
0,3,0.005815724611592678
0,4,0.005402833340466618
0,5,0.005503538528546144
1,0,0.005531232455268014
1,1,0.005367586524638783
1,2,0.005299610522685102
1,3,0.005002530217850498
1,4,0.005040294663380321
1,5,0.004846437176327232
2,0,0.0049924596990425455
2,1,0.004604744724936367
2,2,0.004637473911062213
2,3,0.004723073320929811
2,4,0.004358017014141526
2,5,0.00450403953685684
3,0,0.0044285106457971945
3,1,0.004423475386393218
3,2,0.004509074796260816
3,3,0.004123877451856626
3,4,0.004131430340962591
3,5,0.0040584190796049335
4,0,0.0035523755095053107
4,1,0.0035523755095053107
4,2,0.003675739364902731
4,3,0.0032804715016905885
4,4,0.0033132006878164345
4,5,0.0033862119491740914
5,0,0.0033509651333462572
5,1,0.003184801573015038
5,2,0.003290542020498541
5,3,0.0032855067610945646
5,4,0.0033736238006641505
5,5,0.003220048388842872
6,0,0.0032678833531806476
6,1,0.0033408946145383044
6,2,0.0035120934342735004
6,3,0.003524681582783441
6,4,0.003610280992651039
6,5,0.003703433291624601
7,0,0.003844420554935939
7,1,0.004272417604273928
7,2,0.004128912711260603
7,3,0.004415922497287254
7,4,0.00488923688126103
7,5,0.004881683992155066
8,0,0.0051460351108638235
8,1,0.005903841651162264
8,2,0.005712501793811163
8,3,0.006739694712222337
8,4,0.007157621242752373
8,5,0.0074924659931168
9,0,0.007691358739573866
9,1,0.007703946888083807
9,2,0.007973333266196541
9,3,0.008038791638448234
9,4,0.008280484089839099
9,5,0.008675751953051241
10,0,0.008877162329210295
10,1,0.009128925299409112
10,2,0.009126407669707124
10,3,0.009453699530965587
10,4,0.009176760263746888
10,5,0.009254806784508521
11,0,0.009244736265700567
11,1,0.009292571230038344
11,2,0.009206971820170745
11,3,0.009347959083482084
11,4,0.009534263681429208
11,5,0.009081090335071337
12,0,0.009048361148945491
12,1,0.008683304842157206
12,2,0.008557423357057798
12,3,0.008985420406395786
12,4,0.008655610915435336
12,5,0.008615328840203525
13,0,0.009136478188515077
13,1,0.008947655960865964
13,2,0.00940586456662781
13,3,0.0093227827864622
13,4,0.009390758788415882
13,5,0.009418452715137752
14,0,0.009569510497257043
14,1,0.00940586456662781
14,2,0.00884191551338246
14,3,0.009058431667753443
14,4,0.00853979994914388
14,5,0.008680787212455217
15,0,0.008129426307719808
15,1,0.008358530610600731
15,2,0.008529729430335928
15,3,0.008476859206594176
15,4,0.008411400834342483
15,5,0.008207472828481442
16,0,0.00873365743619697
16,1,0.008799115808448662
16,2,0.008615328840203525
16,3,0.00852721180063394
16,4,0.008393777426428566
16,5,0.008645540396627384
17,0,0.008600223061991596
17,1,0.008418953723448449
17,2,0.008265378311627169
17,3,0.00841643609374646
17,4,0.008290554608647051
17,5,0.008046344527554199
18,0,0.008479376836296165
18,1,0.007995991933514435
18,2,0.008557423357057798
18,3,0.008104250010699926
18,4,0.008577564394673703
18,5,0.008235166755203312
19,0,0.008534764689739904
19,1,0.008323283794772898
19,2,0.00865057565603136
19,3,0.008602740691693584
19,4,0.008232649125501323
19,5,0.008383706907620614
20,0,0.008491964984806104
20,1,0.008283001719541086
20,2,0.008356012980898744
20,3,0.008411400834342483
20,4,0.0084718239471902
20,5,0.00865057565603136
21,0,0.008570011505567738
21,1,0.008403847945236518
21,2,0.008393777426428566
21,3,0.008439094761064353
21,4,0.008335871943282839
21,5,0.007922980672156778
22,0,0.007331337692189558
22,1,0.007160138872454361
22,2,0.007150068353646409
22,3,0.006842917530003852
22,4,0.0067623533795402304
22,5,0.00677745915775216
23,0,0.00633687395990423
23,1,0.006543319595467259
23,2,0.006596189819209011
23,3,0.006301627144076395
23,4,0.006324285811394288
23,5,0.006042311284771613
