time_call_received,triage_impression_during_call,grid_id,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-03-20 11:51:37,H,22620006650000,234,30,160,60,776,161,752,465
2019-03-20 11:52:52,H,22640006641000,68,30,4,304,1104,1223,1525,1912
2019-03-20 11:57:03,H,22570006643000,50,30,13,1886,2146,2044,576,1524
2019-03-20 11:57:15,A,22660006650000,38,30,40,389,1089,617,1232,1137
2019-03-20 12:02:47,H,22630006649000,191,30,7,215,315,513,588,465
2019-03-20 12:02:56,V1,22760006650000,9,30,105,307,1657,84,872,307
2019-03-20 12:03:56,A,22900006691000,80,30,11,541,1883,2837,1008,84
2019-03-20 12:06:26,V1,22720006654000,31,30,138,729,943,1335,252,1284
2019-03-20 12:06:39,A,22770006652000,668,30,45,817,1830,342,1410,1120
2019-03-20 12:07:34,A,22660006626000,57,30,78,206,3785,0,0,290
2019-03-20 12:11:31,A,22660006630000,42,30,124,1059,584,273,790,1701
2019-03-20 12:12:14,H,22640006637000,102,30,11,558,3122,981,925,1410
2019-03-20 12:19:53,A,22610006622000,175,30,0,790,6019,946,1399,1443
2019-03-20 12:26:32,H,22680006649000,128,30,92,585,771,904,1075,1284
2019-03-20 12:31:23,A,22660006630000,45,30,70,273,3684,273,414,1737
2019-03-20 12:33:52,H,22690006650000,99,30,163,676,1569,830,344,1284
2019-03-20 12:35:48,H,23030006670000,82,30,2,211,986,2577,1045,3898
2019-03-20 12:37:14,H,22650006652000,264,30,90,526,1891,60,484,479
2019-03-20 12:43:43,A,22630006627000,22,30,1,357,1570,449,1321,203
2019-03-20 12:44:48,H,22610006651000,47,30,90,163,736,163,588,84
2019-03-20 12:44:54,H,22870006673000,78,30,80,332,627,1775,1410,2254
2019-03-20 12:46:42,H,22630006649000,175,30,130,215,1160,513,770,465
2019-03-20 12:50:30,A,22640006641000,69,30,52,653,1818,0,0,916
2019-03-20 12:50:30,V1,22790006653000,62,30,103,465,1870,620,529,1059
2019-03-20 12:52:31,H,22540006621000,441,30,138,526,1453,1460,418,773
2019-03-20 13:06:11,H,22640006637000,90,30,129,1078,2474,0,0,1617
2019-03-20 13:06:32,V1,22610006652000,87,30,77,84,3161,90,284,90
2019-03-20 13:07:25,H,22600006652000,1185,30,253,587,3818,0,0,881
2019-03-20 13:08:22,H,22650006626000,159,30,4,1331,848,346,455,1911
2019-03-20 13:10:30,H,22440006639000,71,30,3,226,3091,0,0,340
2019-03-20 13:10:32,A,22480006650000,221,30,1,327,1054,327,624,84
2019-03-20 13:10:39,A,22930006694000,13,30,6,627,2405,2824,785,4205
2019-03-20 13:10:44,H,22790006653000,148,30,14,478,927,442,986,329
2019-03-20 13:16:05,H,22590006653000,267,30,80,154,2224,178,1214,230
2019-03-20 13:17:59,H,22610006651000,259,30,17,383,578,163,287,673
2019-03-20 13:18:40,A,22580006651000,72,30,9,239,1211,228,551,84
